date,order_no,format,division_name,orderval,rcvval
2020-10-18,1.0,sm,Staples,"9,732.8","9,732.8"
2020-10-16,2.0,sm,Grocery Food,558.7,558.7
2020-10-20,3.0,sm,Grocery Non Food,"2,927.0","2,927.0"
2020-10-21,4.0,sm,Grocery Food,906.0,906.0
2020-10-27,5.0,sm,Grocery Food,988.6,988.6
2020-10-25,6.0,sm,Grocery Food,"1,168.0","1,168.0"
2020-10-22,7.0,sm,Grocery Food,"9,299.5","7,439.6"
2020-10-22,8.0,sm,Grocery Non Food,"3,104.4","3,104.4"
2020-10-22,9.0,sm,Grocery Non Food,"2,444.2","2,444.2"
2020-10-22,10.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-21,11.0,sm,Grocery Non Food,"2,927.0","2,927.0"
2020-10-19,12.0,sm,Grocery Non Food,"1,898.9","1,898.9"
2020-10-21,13.0,sm,Grocery Food,"4,063.5","4,063.5"
2020-10-16,14.0,sm,Grocery Food,"5,195.6","5,195.6"
2020-10-20,15.0,sm,Grocery Non Food,"1,796.1","1,796.1"
2020-10-20,16.0,sm,Grocery Non Food,"2,406.0","2,406.0"
2020-10-20,17.0,sm,Grocery Food,"2,515.5","2,515.5"
2020-10-25,18.0,sm,Grocery Food,"4,199.8","4,199.8"
2020-10-19,19.0,sm,Grocery Non Food,"17,582.4","17,582.4"
2020-10-21,20.0,sm,Staples,"87,170.4","76,915.1"
2020-10-20,21.0,sm,Grocery Food,"2,031.8","2,031.8"
2020-10-16,22.0,sm,Grocery Food,"4,756.9","4,756.9"
2020-10-20,23.0,sm,Grocery Non Food,749.8,749.8
2020-10-24,24.0,sm,Grocery Non Food,"1,671.3","1,671.3"
2020-10-16,25.0,sm,Grocery Food,"1,991.6","1,991.6"
2020-10-17,26.0,sm,Grocery Food,"7,858.0","7,858.0"
2020-10-21,27.0,sm,Grocery Food,"21,128.6","21,128.6"
2020-10-21,28.0,sm,Grocery Food,948.2,948.2
2020-10-16,29.0,sm,Grocery Food,"3,143.2","3,143.2"
2020-10-20,30.0,sm,Grocery Non Food,905.5,905.5
2020-10-20,31.0,sm,Grocery Non Food,"2,406.0","2,406.0"
2020-10-19,32.0,sm,Grocery Food,"2,318.6","1,159.3"
2020-10-17,33.0,sm,Grocery Food,907.4,907.4
2020-10-17,34.0,sm,Grocery Food,"4,225.7","4,225.7"
2020-10-18,35.0,sm,Grocery Food,"1,633.2","1,633.2"
2020-10-21,36.0,sm,Grocery Non Food,"3,287.3","3,287.3"
2020-10-23,37.0,sm,Grocery Non Food,"1,459.0","1,459.0"
2020-10-20,38.0,sm,Grocery Non Food,"3,975.5","3,975.5"
2020-10-20,39.0,sm,Grocery Non Food,"6,795.8","6,795.8"
2020-10-20,40.0,sm,Grocery Food,"1,488.3","1,461.3"
2020-10-22,41.0,sm,Grocery Food,"3,001.8","3,001.8"
2020-10-20,42.0,sm,Grocery Non Food,"2,871.9","2,871.9"
2020-10-20,43.0,sm,Grocery Non Food,"3,976.8","3,976.8"
2020-10-21,44.0,sm,Grocery Food,"7,864.6","7,864.6"
2020-10-21,45.0,sm,Grocery Food,"1,767.9","1,767.9"
2020-10-23,46.0,sm,Grocery Food,"3,018.6","3,018.6"
2020-10-21,47.0,sm,Grocery Food,"2,097.1","2,097.1"
2020-10-16,48.0,sm,Grocery Food,"1,677.8","1,677.8"
2020-10-21,49.0,sm,Grocery Non Food,"3,991.4","3,880.6"
2020-10-15,50.0,sm,Grocery Food,257.0,257.0
2020-10-23,51.0,sm,Grocery Food,"2,263.1","2,074.5"
2020-10-19,52.0,sm,Grocery Non Food,"13,111.5","13,111.5"
2020-10-21,53.0,sm,Grocery Food,"7,577.2","7,577.2"
2020-10-21,54.0,sm,Grocery Food,"5,940.3","5,940.3"
2020-10-20,55.0,sm,Grocery Food,"6,927.5","6,927.5"
2020-10-20,56.0,sm,Grocery Non Food,"1,329.7","1,329.7"
2020-10-19,57.0,sm,Grocery Non Food,"3,426.7","3,426.7"
2020-10-19,58.0,sm,Grocery Non Food,"4,790.0","4,790.0"
2020-10-19,59.0,sm,Grocery Non Food,"2,209.8","2,209.8"
2020-10-19,60.0,sm,Staples,"4,159.0","4,159.0"
2020-10-21,61.0,sm,Grocery Non Food,"10,344.9","10,344.9"
2020-10-22,62.0,sm,Grocery Food,"1,509.3","1,509.3"
2020-10-23,63.0,sm,Grocery Non Food,"1,330.5","1,330.5"
2020-10-20,64.0,sm,Staples,"23,588.6","23,588.6"
2020-10-20,65.0,sm,Grocery Food,"5,918.4","5,918.4"
2020-10-20,66.0,sm,Grocery Food,519.2,519.2
2020-10-21,67.0,sm,Grocery Food,"1,186.2","1,186.2"
2020-10-26,68.0,sm,Grocery Non Food,618.7,618.7
2020-10-23,69.0,sm,Grocery Non Food,"1,459.0","1,459.0"
2020-10-21,70.0,sm,Grocery Non Food,"1,688.1","1,688.1"
2020-10-16,71.0,sm,Grocery Food,"1,652.4","1,652.4"
2020-10-23,72.0,sm,Grocery Non Food,"1,054.1","1,054.1"
2020-10-26,73.0,sm,Grocery Non Food,"36,799.2","36,799.2"
2020-10-16,74.0,sm,Grocery Food,"1,411.6","1,411.6"
2020-10-22,75.0,sm,Grocery Non Food,"6,586.5","6,586.5"
2020-10-18,76.0,sm,Grocery Food,"1,956.0","1,956.0"
2020-10-20,77.0,sm,Grocery Food,"5,683.1","5,683.1"
2020-10-21,78.0,sm,Grocery Food,"7,747.7","7,747.7"
2020-10-20,79.0,sm,Grocery Food,"2,082.9","2,082.9"
2020-10-20,80.0,sm,Grocery Food,"5,165.1","5,165.1"
2020-10-21,81.0,sm,Grocery Food,"1,707.5","1,707.5"
2020-10-25,82.0,sm,Grocery Food,"3,024.0","3,024.0"
2020-10-22,83.0,sm,Grocery Non Food,"55,960.9","55,960.9"
2020-10-20,84.0,sm,Grocery Non Food,"1,054.1","1,054.1"
2020-10-25,85.0,sm,Grocery Food,"7,219.5","7,219.5"
2020-10-20,86.0,sm,Grocery Food,"7,504.7","2,309.2"
2020-10-20,87.0,sm,Grocery Non Food,"1,537.6","1,537.6"
2020-10-19,88.0,sm,Grocery Food,941.0,941.0
2020-10-17,89.0,sm,Grocery Food,"1,675.3","1,675.3"
2020-10-20,90.0,sm,Grocery Food,"3,585.7","3,585.7"
2020-10-20,91.0,sm,Grocery Food,227.7,227.7
2020-10-23,92.0,sm,Grocery Non Food,"16,469.8","16,469.8"
2020-10-20,93.0,sm,Grocery Food,"1,008.0","1,008.0"
2020-10-22,94.0,sm,Grocery Food,341.5,341.5
